[22:49:36] Episode 803: Reward 12.1, Steps 50, Win Rate 0.207, Epsilon 0.050 (5.8 eps/s)
[22:49:36] Episode 806: Reward 10.8, Steps 50, Win Rate 0.207, Epsilon 0.050 (5.8 eps/s)
[22:49:36] Episode 808: Reward 11.3, Steps 50, Win Rate 0.208, Epsilon 0.050 (5.8 eps/s)
[22:49:37] Episode 809: Reward 11.4, Steps 50, Win Rate 0.209, Epsilon 0.050 (5.8 eps/s)
[22:49:38] Episode 817: Reward 11.0, Steps 50, Win Rate 0.208, Epsilon 0.050 (5.8 eps/s)
[22:49:38] Episode 818: Reward 5.1, Steps 50, Win Rate 0.209, Epsilon 0.050 (5.8 eps/s)
[22:49:39] Episode 819: Reward 5.1, Steps 50, Win Rate 0.210, Epsilon 0.050 (5.8 eps/s)
[22:49:39] Episode 820: Reward 12.1, Steps 50, Win Rate 0.211, Epsilon 0.050 (5.8 eps/s)
[22:49:39] Episode 822: Reward 10.7, Steps 50, Win Rate 0.212, Epsilon 0.050 (5.8 eps/s)
[22:49:40] Episode 826: Reward 6.2, Steps 33, Win Rate 0.212, Epsilon 0.050 (5.8 eps/s)
[22:49:40] Episode 829: Reward 11.6, Steps 50, Win Rate 0.212, Epsilon 0.050 (5.8 eps/s)
[22:49:40] Episode 837: Reward 5.2, Steps 50, Win Rate 0.211, Epsilon 0.050 (5.9 eps/s)
[22:49:41] Episode 839: Reward 5.1, Steps 50, Win Rate 0.212, Epsilon 0.050 (5.9 eps/s)
[22:49:42] Episode 845: Reward 11.5, Steps 50, Win Rate 0.212, Epsilon 0.050 (5.8 eps/s)
[22:49:43] Episode 846: Reward 12.5, Steps 50, Win Rate 0.213, Epsilon 0.050 (5.8 eps/s)
[22:49:43] Episode 848: Reward 11.4, Steps 50, Win Rate 0.213, Epsilon 0.050 (5.8 eps/s)
[22:49:43] Episode 850: Reward 2.4, Steps 15, Win Rate 0.213, Epsilon 0.050 (5.8 eps/s)
[22:49:46] Episode 851: Reward 5.1, Steps 50, Win Rate 0.214, Epsilon 0.050 (5.7 eps/s)
[22:49:46] Episode 854: Reward 12.2, Steps 50, Win Rate 0.214, Epsilon 0.050 (5.7 eps/s)
[22:49:48] Episode 865: Reward 5.2, Steps 50, Win Rate 0.213, Epsilon 0.050 (5.8 eps/s)
[22:49:48] Episode 866: Reward 5.1, Steps 50, Win Rate 0.214, Epsilon 0.050 (5.8 eps/s)
[22:49:48] Episode 868: Reward 13.2, Steps 50, Win Rate 0.214, Epsilon 0.050 (5.8 eps/s)
[22:49:48] Episode 869: Reward 5.1, Steps 50, Win Rate 0.215, Epsilon 0.050 (5.8 eps/s)
[22:49:48] Episode 870: Reward 10.9, Steps 50, Win Rate 0.216, Epsilon 0.050 (5.8 eps/s)
[22:49:49] [Step 17992] Updated target network. Win rate: 0.215, Buffer: 17992, Time: 2.5m
[22:49:49] Episode 874: Reward 12.2, Steps 50, Win Rate 0.216, Epsilon 0.050 (5.8 eps/s)
[22:49:49] Episode 875: Reward 13.0, Steps 50, Win Rate 0.217, Epsilon 0.050 (5.8 eps/s)
[22:49:50] Episode 881: Reward 7.1, Steps 30, Win Rate 0.217, Epsilon 0.050 (5.8 eps/s)
[22:49:51] Episode 885: Reward 6.4, Steps 36, Win Rate 0.217, Epsilon 0.050 (5.8 eps/s)
[22:49:51] Episode 890: Reward 6.3, Steps 35, Win Rate 0.217, Epsilon 0.050 (5.8 eps/s)
[22:49:51] Episode 894: Reward 5.1, Steps 50, Win Rate 0.217, Epsilon 0.050 (5.8 eps/s)
[22:49:52] Episode 897: Reward 5.6, Steps 50, Win Rate 0.217, Epsilon 0.050 (5.8 eps/s)
[22:49:53] Episode 900: Reward 3.7, Steps 25, Win Rate 0.217, Epsilon 0.050 (5.8 eps/s)
[22:49:56] Episode 901: Reward 12.0, Steps 50, Win Rate 0.218, Epsilon 0.050 (5.7 eps/s)
[22:49:56] Episode 902: Reward 5.8, Steps 48, Win Rate 0.218, Epsilon 0.050 (5.7 eps/s)
[22:49:56] Episode 903: Reward 11.5, Steps 50, Win Rate 0.219, Epsilon 0.050 (5.7 eps/s)
[22:49:56] Episode 904: Reward 10.7, Steps 50, Win Rate 0.220, Epsilon 0.050 (5.7 eps/s)
[22:49:56] Episode 905: Reward 13.5, Steps 50, Win Rate 0.221, Epsilon 0.050 (5.7 eps/s)
[22:49:57] Episode 906: Reward 10.7, Steps 50, Win Rate 0.222, Epsilon 0.050 (5.7 eps/s)
[22:49:58] Episode 910: Reward 7.9, Steps 50, Win Rate 0.222, Epsilon 0.050 (5.7 eps/s)
[22:49:58] Episode 912: Reward 11.8, Steps 50, Win Rate 0.223, Epsilon 0.050 (5.7 eps/s)
[22:49:59] Episode 916: Reward 7.7, Steps 50, Win Rate 0.223, Epsilon 0.050 (5.7 eps/s)
[22:49:59] Episode 917: Reward 13.1, Steps 50, Win Rate 0.224, Epsilon 0.050 (5.7 eps/s)
[22:49:59] Episode 918: Reward 5.3, Steps 48, Win Rate 0.224, Epsilon 0.050 (5.7 eps/s)
[22:50:00] Episode 924: Reward 13.1, Steps 50, Win Rate 0.224, Epsilon 0.050 (5.7 eps/s)
[22:50:00] Episode 925: Reward 5.2, Steps 50, Win Rate 0.225, Epsilon 0.050 (5.7 eps/s)
[22:50:00] Episode 927: Reward 12.9, Steps 50, Win Rate 0.225, Epsilon 0.050 (5.7 eps/s)
[22:50:01] Episode 928: Reward 5.3, Steps 50, Win Rate 0.226, Epsilon 0.050 (5.7 eps/s)
[22:50:02] Episode 931: Reward 9.3, Steps 50, Win Rate 0.227, Epsilon 0.050 (5.7 eps/s)
[22:50:02] Episode 932: Reward 11.5, Steps 50, Win Rate 0.227, Epsilon 0.050 (5.7 eps/s)
[22:50:02] Episode 933: Reward 5.1, Steps 50, Win Rate 0.228, Epsilon 0.050 (5.7 eps/s)
[22:50:02] Episode 934: Reward 12.1, Steps 50, Win Rate 0.229, Epsilon 0.050 (5.7 eps/s)
[22:50:03] Episode 938: Reward 11.2, Steps 50, Win Rate 0.229, Epsilon 0.050 (5.7 eps/s)
[22:50:04] Episode 940: Reward 7.9, Steps 50, Win Rate 0.230, Epsilon 0.050 (5.7 eps/s)
[22:50:04] Episode 945: Reward 5.4, Steps 50, Win Rate 0.230, Epsilon 0.050 (5.7 eps/s)
[22:50:06] Episode 949: Reward 5.1, Steps 50, Win Rate 0.230, Epsilon 0.050 (5.6 eps/s)
[22:50:06] Episode 950: Reward -0.8, Steps 4, Win Rate 0.229, Epsilon 0.050 (5.6 eps/s)
[22:50:10] Episode 952: Reward 5.2, Steps 50, Win Rate 0.230, Epsilon 0.050 (5.5 eps/s)
[22:50:10] Episode 953: Reward 5.1, Steps 50, Win Rate 0.231, Epsilon 0.050 (5.5 eps/s)
[22:50:11] Episode 955: Reward 7.0, Steps 35, Win Rate 0.231, Epsilon 0.050 (5.5 eps/s)
[22:50:11] Episode 956: Reward 11.1, Steps 50, Win Rate 0.232, Epsilon 0.050 (5.5 eps/s)
[22:50:11] Episode 958: Reward 5.1, Steps 50, Win Rate 0.233, Epsilon 0.050 (5.5 eps/s)
[22:50:12] Episode 963: Reward 5.8, Steps 45, Win Rate 0.233, Epsilon 0.050 (5.5 eps/s)
[22:50:13] Episode 970: Reward 11.5, Steps 50, Win Rate 0.232, Epsilon 0.050 (5.5 eps/s)
[22:50:13] Episode 972: Reward 6.0, Steps 24, Win Rate 0.233, Epsilon 0.050 (5.5 eps/s)
[22:50:14] Episode 974: Reward 7.1, Steps 42, Win Rate 0.233, Epsilon 0.050 (5.5 eps/s)
[22:50:14] Episode 975: Reward 7.1, Steps 49, Win Rate 0.234, Epsilon 0.050 (5.5 eps/s)
[22:50:14] Episode 977: Reward 11.1, Steps 50, Win Rate 0.234, Epsilon 0.050 (5.5 eps/s)
[22:50:14] Episode 978: Reward 12.2, Steps 50, Win Rate 0.235, Epsilon 0.050 (5.5 eps/s)
[22:50:15] Episode 980: Reward 12.2, Steps 50, Win Rate 0.236, Epsilon 0.050 (5.5 eps/s)
[22:50:15] Episode 981: Reward 5.2, Steps 50, Win Rate 0.236, Epsilon 0.050 (5.5 eps/s)
[22:50:15] Episode 982: Reward 9.9, Steps 50, Win Rate 0.237, Epsilon 0.050 (5.5 eps/s)
[22:50:16] Episode 985: Reward 11.1, Steps 50, Win Rate 0.238, Epsilon 0.050 (5.5 eps/s)
[22:50:17] Episode 986: Reward 12.9, Steps 50, Win Rate 0.238, Epsilon 0.050 (5.5 eps/s)
[22:50:17] Episode 987: Reward 5.2, Steps 50, Win Rate 0.239, Epsilon 0.050 (5.5 eps/s)
[22:50:17] Episode 989: Reward 6.2, Steps 49, Win Rate 0.240, Epsilon 0.050 (5.5 eps/s)
[22:50:19] Episode 998: Reward 12.5, Steps 50, Win Rate 0.238, Epsilon 0.050 (5.5 eps/s)
[22:50:19] Episode 1000: Reward -4.8, Steps 3, Win Rate 0.238, Epsilon 0.050 (5.5 eps/s)
[22:50:23] Episode 1002: Reward 12.5, Steps 50, Win Rate 0.239, Epsilon 0.050 (5.4 eps/s)
[22:50:24] Episode 1006: Reward 5.1, Steps 50, Win Rate 0.239, Epsilon 0.050 (5.4 eps/s)
[22:50:24] Episode 1007: Reward 5.7, Steps 37, Win Rate 0.239, Epsilon 0.050 (5.4 eps/s)
[22:50:24] Episode 1010: Reward 11.9, Steps 50, Win Rate 0.240, Epsilon 0.050 (5.4 eps/s)
[22:50:24] Episode 1012: Reward 5.1, Steps 50, Win Rate 0.240, Epsilon 0.050 (5.4 eps/s)
[22:50:25] Episode 1015: Reward 5.2, Steps 50, Win Rate 0.240, Epsilon 0.050 (5.4 eps/s)
[22:50:25] Episode 1016: Reward 10.7, Steps 50, Win Rate 0.241, Epsilon 0.050 (5.4 eps/s)
[22:50:26] Episode 1023: Reward 12.2, Steps 50, Win Rate 0.240, Epsilon 0.050 (5.4 eps/s)
[22:50:26] Episode 1024: Reward 12.9, Steps 50, Win Rate 0.241, Epsilon 0.050 (5.4 eps/s)
[22:50:26] Episode 1026: Reward 7.0, Steps 50, Win Rate 0.242, Epsilon 0.050 (5.4 eps/s)
[22:50:26] Episode 1027: Reward 11.6, Steps 50, Win Rate 0.242, Epsilon 0.050 (5.4 eps/s)
[22:50:27] Episode 1028: Reward 5.1, Steps 50, Win Rate 0.243, Epsilon 0.050 (5.4 eps/s)
[22:50:28] Episode 1032: Reward 13.4, Steps 50, Win Rate 0.243, Epsilon 0.050 (5.4 eps/s)
[22:50:28] Episode 1035: Reward 5.7, Steps 49, Win Rate 0.243, Epsilon 0.050 (5.4 eps/s)
[22:50:28] Episode 1037: Reward 8.4, Steps 50, Win Rate 0.244, Epsilon 0.050 (5.4 eps/s)
[22:50:29] Episode 1045: Reward 6.5, Steps 42, Win Rate 0.243, Epsilon 0.050 (5.4 eps/s)
[22:50:30] Episode 1047: Reward 5.2, Steps 50, Win Rate 0.244, Epsilon 0.050 (5.4 eps/s)
[22:50:30] Episode 1048: Reward 12.4, Steps 50, Win Rate 0.244, Epsilon 0.050 (5.4 eps/s)
[22:50:30] Episode 1050: Reward 6.9, Steps 50, Win Rate 0.245, Epsilon 0.050 (5.4 eps/s)
[22:50:34] Episode 1051: Reward 5.1, Steps 50, Win Rate 0.245, Epsilon 0.050 (5.4 eps/s)
[22:50:34] Episode 1052: Reward 10.0, Steps 50, Win Rate 0.246, Epsilon 0.050 (5.4 eps/s)
[22:50:35] Episode 1054: Reward 11.8, Steps 50, Win Rate 0.247, Epsilon 0.050 (5.3 eps/s)
[22:50:35] Episode 1055: Reward 5.1, Steps 50, Win Rate 0.247, Epsilon 0.050 (5.3 eps/s)
[22:50:35] Episode 1056: Reward 5.1, Steps 50, Win Rate 0.248, Epsilon 0.050 (5.3 eps/s)
[22:50:35] Episode 1058: Reward 9.9, Steps 50, Win Rate 0.249, Epsilon 0.050 (5.3 eps/s)
[22:50:36] Episode 1059: Reward 5.2, Steps 29, Win Rate 0.249, Epsilon 0.050 (5.3 eps/s)
[22:50:37] Episode 1069: Reward 5.1, Steps 50, Win Rate 0.248, Epsilon 0.050 (5.3 eps/s)
[22:50:38] Episode 1071: Reward 12.5, Steps 50, Win Rate 0.248, Epsilon 0.050 (5.3 eps/s)
[22:50:38] Episode 1072: Reward 11.7, Steps 50, Win Rate 0.249, Epsilon 0.050 (5.3 eps/s)
[22:50:39] Episode 1073: Reward 5.1, Steps 50, Win Rate 0.250, Epsilon 0.050 (5.3 eps/s)
[22:50:39] Episode 1074: Reward 7.5, Steps 49, Win Rate 0.250, Epsilon 0.050 (5.3 eps/s)
[22:50:43] Episode 1085: Reward 11.4, Steps 50, Win Rate 0.249, Epsilon 0.050 (5.3 eps/s)
[22:50:43] Episode 1087: Reward 5.1, Steps 50, Win Rate 0.249, Epsilon 0.050 (5.3 eps/s)
[22:50:44] Episode 1089: Reward 10.5, Steps 50, Win Rate 0.250, Epsilon 0.050 (5.3 eps/s)
[22:50:44] Episode 1091: Reward 12.8, Steps 50, Win Rate 0.250, Epsilon 0.050 (5.3 eps/s)
[22:50:46] Episode 1100: Reward 5.0, Steps 50, Win Rate 0.248, Epsilon 0.050 (5.3 eps/s)
[22:50:49] Episode 1101: Reward 7.2, Steps 50, Win Rate 0.249, Epsilon 0.050 (5.2 eps/s)
[22:50:49] Episode 1104: Reward 12.5, Steps 50, Win Rate 0.249, Epsilon 0.050 (5.2 eps/s)
[22:50:50] Episode 1105: Reward 11.7, Steps 50, Win Rate 0.250, Epsilon 0.050 (5.2 eps/s)
[22:50:50] Episode 1107: Reward 12.3, Steps 50, Win Rate 0.250, Epsilon 0.050 (5.2 eps/s)
[22:50:50] Episode 1110: Reward 12.3, Steps 50, Win Rate 0.250, Epsilon 0.050 (5.2 eps/s)
[22:50:51] Episode 1113: Reward 5.2, Steps 50, Win Rate 0.251, Epsilon 0.050 (5.2 eps/s)
[22:50:51] Episode 1116: Reward 5.1, Steps 50, Win Rate 0.251, Epsilon 0.050 (5.2 eps/s)
[22:50:52] Episode 1123: Reward 11.5, Steps 50, Win Rate 0.250, Epsilon 0.050 (5.2 eps/s)
[22:50:52] Episode 1124: Reward 6.6, Steps 50, Win Rate 0.251, Epsilon 0.050 (5.2 eps/s)
[22:50:53] Episode 1126: Reward 12.5, Steps 50, Win Rate 0.251, Epsilon 0.050 (5.2 eps/s)
[22:50:53] Episode 1127: Reward 5.1, Steps 50, Win Rate 0.252, Epsilon 0.050 (5.2 eps/s)
[22:50:53] Episode 1130: Reward 10.6, Steps 50, Win Rate 0.252, Epsilon 0.050 (5.2 eps/s)
[22:50:54] Episode 1131: Reward 13.8, Steps 50, Win Rate 0.253, Epsilon 0.050 (5.2 eps/s)
[22:50:54] Episode 1132: Reward 12.8, Steps 50, Win Rate 0.254, Epsilon 0.050 (5.2 eps/s)
[22:50:54] Episode 1133: Reward 5.3, Steps 34, Win Rate 0.254, Epsilon 0.050 (5.2 eps/s)
[22:50:54] Episode 1135: Reward 5.1, Steps 50, Win Rate 0.255, Epsilon 0.050 (5.2 eps/s)
[22:50:55] Episode 1138: Reward 7.0, Steps 35, Win Rate 0.255, Epsilon 0.050 (5.2 eps/s)
